"id","pp","psoe","year","dtreat","voters","part"
1,44.5900001525879,38.9000015258789,2004,1,1053738,70.5999984741211
2,26.8700008392334,30.7900009155273,2004,1,247377,77.2300033569336
3,46.9500007629395,46.2599983215332,2004,1,298780,79.2699966430664
4,48.8800010681152,42.1199989318848,2004,1,1154729,77.5199966430664
5,44.2799987792969,47.689998626709,2004,1,427310,71.9400024414062
6,43.7700004577637,43.3800010681152,2004,1,986352,71.7300033569336
7,59.5400009155273,34.0200004577637,2004,1,143641,79.8600006103516
8,41.6500015258789,51.6599998474121,2004,1,538650,79.3199996948242
9,15.9499998092651,41.6599998474121,2004,1,4007330,76.1699981689453
10,51.9599990844727,38.9300003051758,2004,1,303177,78.2699966430664
11,43.5400009155273,50.5299987792969,2004,1,346760,79.1800003051758
12,33.6199989318848,50.6699981689453,2004,1,927177,69.9100036621094
13,51.9000015258789,40.8699989318848,2004,1,479189,77.2300033569336
14,45.6399993896484,44.5999984741211,2004,1,401559,78.4100036621094
15,59.2400016784668,35.7799987792969,2004,1,56751,63.4500007629395
16,46.5699996948242,48.1199989318848,2004,1,393160,78.5699996948242
17,33.7400016784668,49.8600006103516,2004,1,633155,78.5100021362305
18,49.7299995422363,45.3800010681152,2004,1,165576,81.4499969482422
19,11.4499998092651,31.6200008392334,2004,1,472443,76.0299987792969
20,37.0400009155273,51.4700012207031,2004,1,694304,75.7200012207031
21,47.5800018310547,44.1100006103516,2004,1,151106,80.1500015258789
22,15.2600002288818,26.3099994659424,2004,1,581818,72.5500030517578
23,30.5900001525879,56.189998626709,2004,1,378428,73.1999969482422
24,37.4900016784668,45.6599998474121,2004,1,176971,76.620002746582
25,45.8899993896484,39.4799995422363,2004,1,687834,68.8399963378906
26,34.1100006103516,54.4099998474121,2004,1,525955,80.4000015258789
27,49.939998626709,43.9700012207031,2004,1,234776,79.4599990844727
28,42.2099990844727,33.9199981689453,2004,1,736157,67.7200012207031
29,44.9599990844727,46.7799987792969,2004,1,450279,74.8199996948242
30,14.6199998855591,29.5699996948242,2004,1,312357,74.9899978637695
31,49.7099990844727,37.1699981689453,2004,1,347433,72.3099975585938
32,45.0200004577637,44.1100006103516,2004,1,4458540,78.9300003051758
33,36.4099998474121,49.7700004577637,2004,1,1033409,71.9000015258789
34,54.5999984741211,41.4300003051758,2004,1,49129,55.8400001525879
35,57.4199981689453,35,2004,1,941145,77.0599975585938
36,37.5999984741211,33.5499992370605,2004,1,466181,76.2200012207031
37,55.2700004577637,31.1000003814697,2004,1,355008,68.0299987792969
38,50.25,43.0800018310547,2004,1,152681,79.4400024414062
39,45.9900016784668,37.5299987792969,2004,1,848707,72.129997253418
40,54.25,39.8300018310547,2004,1,312421,76.620002746582
41,28.3400001525879,35.0099983215332,2004,1,721781,65.6699981689453
42,52.4500007629395,39.939998626709,2004,1,124638,81.1100006103516
43,27.9300003051758,58.2700004577637,2004,1,1432031,77.0800018310547
44,50.7999992370605,38.7900009155273,2004,1,78531,75.2200012207031
45,17.0200004577637,35.4900016784668,2004,1,516584,74.879997253418
46,40.8300018310547,41.0900001525879,2004,1,116141,76.3600006103516
47,47.4700012207031,46.5,2004,1,450322,80.8399963378906
48,45.75,42.189998626709,2004,1,1884604,77.6800003051758
49,46.7900009155273,44.5999984741211,2004,1,431774,81.1600036621094
50,18.7399997711182,26.7600002288818,2004,1,974742,75.8300018310547
51,53.3499984741211,39.9300003051758,2004,1,182379,74.4400024414062
52,35.5499992370605,40.2599983215332,2004,1,726811,77.25
53,37.7099990844727,42.5900001525879,2004,1,34571832,75.6600036621094
1,54.0999984741211,37.2999992370605,2004,0,106610,31
2,38.5999984741211,20.3999996185303,2004,0,3061,29.3999996185303
3,30.7999992370605,59.2999992370605,2004,0,5179,29.2000007629395
4,39.5,49.5999984741211,2004,0,21112,20.7000007629395
5,37.4000015258789,51,2004,0,18913,23.7000007629395
6,39.7999992370605,50.2000007629395,2004,0,59779,30.3999996185303
7,47.0999984741211,43.5999984741211,2004,0,5033,30.6000003814697
8,31.7999992370605,54.5,2004,0,8958,20.2000007629395
9,24.5,29.7999992370605,2004,0,77098,25.1000003814697
10,56.7999992370605,31.7000007629395,2004,0,9056,31.7999992370605
11,32.4000015258789,51.2999992370605,2004,0,13862,17.7000007629395
12,33.2999992370605,50.9000015258789,2004,0,17786,20.2000007629395
13,51.7000007629395,38.2999992370605,2004,0,17331,24.7000007629395
14,39.2000007629395,46.7999992370605,2004,0,4315,27.6000003814697
15,41.2000007629395,44,2004,0,2092,19.6000003814697
16,42.5,46.2999992370605,2004,0,4073,20.2000007629395
17,27.1000003814697,56.0999984741211,2004,0,13654,23.7000007629395
18,38.0999984741211,50.5999984741211,2004,0,2247,24.8999996185303
19,19,30.2999992370605,2004,0,7192,25.2999992370605
20,32,56,2004,0,25262,24.6000003814697
21,37.0999984741211,48.7000007629395,2004,0,1941,25.1000003814697
22,28.3999996185303,24.2000007629395,2004,0,13327,28.5
23,24.7999992370605,60.5,2004,0,4959,16.8999996185303
24,36.2999992370605,46,2004,0,4122,29.6000003814697
25,48.4000015258789,31.1000003814697,2004,0,9534,25.5
26,27.7000007629395,57.0999984741211,2004,0,8364,21.7999992370605
27,61.4000015258789,33.2000007629395,2004,0,6593,34
28,26.2000007629395,19.7000007629395,2004,0,12257,34.7999992370605
29,44.2999992370605,45.7999992370605,2004,0,28724,28.1000003814697
30,16.6000003814697,30.5,2004,0,10276,27
31,54.2999992370605,37.5999984741211,2004,0,36667,34.9000015258789
32,51.0999984741211,38.4000015258789,2004,0,141542,23.7999992370605
33,30.7999992370605,55.7999992370605,2004,0,25678,22.7000007629395
34,47.0999984741211,43.5,2004,0,2870,11.8999996185303
35,40.9000015258789,45.2000007629395,2004,0,17147,23.8999996185303
36,50.0999984741211,29.2999992370605,2004,0,12595,26.8999996185303
37,65,27.3999996185303,2004,0,66091,26.2000007629395
38,52.7999992370605,38.7999992370605,2004,0,4654,25.7999992370605
39,61.7999992370605,31,2004,0,85817,32.9000015258789
40,46.9000015258789,45.7999992370605,2004,0,18835,27.7000007629395
41,19,16.2999992370605,2004,0,44170,44.2999992370605
42,47.2999992370605,40.0999984741211,2004,0,2176,26.7000007629395
43,30.3999996185303,56,2004,0,20093,22
44,52.4000015258789,35.2000007629395,2004,0,2772,35.5
45,23.8999996185303,29.5,2004,0,7918,27
46,35.5,48.2999992370605,2004,0,3184,25.2999992370605
47,40,48.7000007629395,2004,0,6029,24.3999996185303
48,40.5999984741211,45.0999984741211,2004,0,39301,18.8999996185303
49,47.9000015258789,39.4000015258789,2004,0,9326,21.6000003814697
50,29.8999996185303,21.2000007629395,2004,0,20471,27.8999996185303
51,39.4000015258789,29,2004,0,11200,29.2999992370605
52,39.2999992370605,37.4000015258789,2004,0,12508,28.2999992370605
53,43.6399993896484,37.3499984741211,2004,0,1113754,27.3600006103516
1,51.939998626709,24.7600002288818,2000,1,1033965,63.8400001525879
2,39.0999984741211,24.2999992370605,2000,1,244477,70.2799987792969
3,51.189998626709,41.2000007629395,2000,1,295105,75.5800018310547
4,54.2599983215332,34.7900009155273,2000,1,1104940,73.3399963378906
5,48.6699981689453,42.2599983215332,2000,1,411065,68.1399993896484
6,46.3300018310547,37.0200004577637,2000,1,981504,66.9899978637695
7,65.3099975585938,26.6599998474121,2000,1,145250,74.6900024414062
8,47,44.7700004577637,2000,1,534100,75.1900024414062
9,23.5300006866455,35.5099983215332,2000,1,4033017,63.7799987792969
10,58.3600006103516,29.0100002288818,2000,1,303453,73.5999984741211
11,47.7599983215332,44.6199989318848,2000,1,344192,75.7699966430664
12,41.1800003051758,39.4000015258789,2000,1,884994,63.0900001525879
13,56.8400001525879,33.4700012207031,2000,1,468607,71.8099975585938
14,53.7900009155273,35.3499984741211,2000,1,387823,73.6999969482422
15,47.5900001525879,18,2000,1,55848,55.1500015258789
16,51.689998626709,42.560001373291,2000,1,393419,74.7600021362305
17,40.8600006103516,40.5499992370605,2000,1,621971,74.7699966430664
18,53.3499984741211,41.1599998474121,2000,1,167521,78.6500015258789
19,15.9300003051758,28.3799991607666,2000,1,457288,64.9599990844727
20,42.6599998474121,44.3600006103516,2000,1,694968,69.5999984741211
21,54.3899993896484,36.060001373291,2000,1,137523,75.4599990844727
22,24.6100006103516,23.7000007629395,2000,1,584618,55.8800010681152
23,40.1599998474121,46.8800010681152,2000,1,371361,66.5999984741211
24,45.1300010681152,37.060001373291,2000,1,178786,70.7600021362305
25,53.8699989318848,29.2800006866455,2000,1,652009,61.4300003051758
26,40.3300018310547,47.75,2000,1,524813,76.7200012207031
27,54.0999984741211,34.8699989318848,2000,1,230427,74.2099990844727
28,48.0499992370605,18.3999996185303,2000,1,717880,61.5800018310547
29,48.75,31.9500007629395,2000,1,451322,69.629997253418
30,20.9799995422363,27.6100006103516,2000,1,313239,64.5299987792969
31,57.9700012207031,22.9099998474121,2000,1,344241,67.7300033569336
32,52.5200004577637,33.060001373291,2000,1,4317146,72.0800018310547
33,43.4700012207031,39.060001373291,2000,1,1006029,65.0199966430664
34,49.7999992370605,20.4200000762939,2000,1,48985,54
35,58.0800018310547,32.3800010681152,2000,1,917217,73.5400009155273
36,49.8899993896484,27.3199996948242,2000,1,463892,66.0699996948242
37,57.189998626709,23.0799999237061,2000,1,346888,65.1800003051758
38,55.5200004577637,35.7799987792969,2000,1,154718,75.3499984741211
39,53.4199981689453,23.0300006866455,2000,1,822687,65.3199996948242
40,58.5200004577637,32.6699981689453,2000,1,315419,71.1800003051758
41,34.9799995422363,26.3400001525879,2000,1,675530,59.7000007629395
42,57.4799995422363,30.8500003814697,2000,1,126484,75.6100006103516
43,34.9799995422363,49.0200004577637,2000,1,1401582,69.7399978637695
44,58.4700012207031,31.9799995422363,2000,1,79525,69.3000030517578
45,24.3400001525879,32.4099998474121,2000,1,489921,64.6100006103516
46,47.9300003051758,33.810001373291,2000,1,118390,72.1900024414062
47,52.7200012207031,40.25,2000,1,427326,77.5800018310547
48,50.4700012207031,33.2299995422363,2000,1,1873447,72.120002746582
49,53.1399993896484,35.1300010681152,2000,1,425123,75.2200012207031
50,27.2600002288818,22.8600006103516,2000,1,981571,66.9899978637695
51,58.8300018310547,32.439998626709,2000,1,185365,69.7300033569336
52,47.6300010681152,29.1700000762939,2000,1,722669,71.4100036621094
53,44.5200004577637,34.1599998474121,2000,1,33969640,68.7099990844727
1,57.9000015258789,31.2000007629395,2000,0,95862,24.8999996185303
2,46.4000015258789,25.1000003814697,2000,0,2273,23.2999992370605
3,25.3999996185303,64.3000030517578,2000,0,4998,24.6000003814697
4,37.7000007629395,48.5,2000,0,13683,23.6000003814697
5,29,61.4000015258789,2000,0,16910,20.7000007629395
6,36.2000007629395,52,2000,0,48155,21.2000007629395
7,41.5,49.2999992370605,2000,0,4696,22.7000007629395
8,27.5,61.0999984741211,2000,0,8973,18.1000003814697
9,23.5,37.5,2000,0,64986,22.3999996185303
10,55.2999992370605,33.7999992370605,2000,0,7842,25.2000007629395
11,28.5,54.5,2000,0,10844,23.6000003814697
12,25.5,60.7999992370605,2000,0,16054,17.5
13,41.0999984741211,48,2000,0,13754,21.2999992370605
14,35.4000015258789,41.2000007629395,2000,0,3690,27.5
15,33.2999992370605,44.5999984741211,2000,0,1536,18
16,33.2000007629395,53.7999992370605,2000,0,3954,22.2999992370605
17,22.5,58.9000015258789,2000,0,13307,23.7000007629395
18,24.1000003814697,70,2000,0,2176,22.2000007629395
19,16.8999996185303,41,2000,0,6407,24.7000007629395
20,24.2999992370605,61.7999992370605,2000,0,22104,24.5
21,40.7000007629395,47.9000015258789,2000,0,1802,25.3999996185303
22,26.1000003814697,31,2000,0,10589,26.8999996185303
23,24.2000007629395,63.5,2000,0,5709,15
24,28.7999992370605,52.5,2000,0,4110,26.2000007629395
25,59.5,24.5,2000,0,7583,21.2999992370605
26,25,61.5,2000,0,8347,20.7000007629395
27,51.7999992370605,33.7999992370605,2000,0,5606,24.8999996185303
28,32.0999984741211,27.5,2000,0,8046,24.2999992370605
29,40.7000007629395,44.9000015258789,2000,0,23503,24.2000007629395
30,17.5,38,2000,0,9480,23.7000007629395
31,58.2000007629395,32.2999992370605,2000,0,31025,26.2000007629395
32,49.4000015258789,37.4000015258789,2000,0,109586,20
33,27.5,58.0999984741211,2000,0,22556,22.3999996185303
34,34.4000015258789,50.4000015258789,2000,0,2325,15.3000001907349
35,32.7999992370605,55.4000015258789,2000,0,16325,20.8999996185303
36,55.0999984741211,29.1000003814697,2000,0,10994,21.2999992370605
37,62,27,2000,0,53681,24.1000003814697
38,50.7999992370605,40.0999984741211,2000,0,4225,24.3999996185303
39,58.7999992370605,30.6000003814697,2000,0,74298,24.7000007629395
40,43.9000015258789,45.2999992370605,2000,0,17041,20
41,28,20.1000003814697,2000,0,31081,28
42,42.5999984741211,43.5,2000,0,2027,23.3999996185303
43,25,61.9000015258789,2000,0,18308,21.2999992370605
44,48.2999992370605,39.5,2000,0,2404,25.2000007629395
45,20.8999996185303,42,2000,0,6721,23.7999992370605
46,33.5,50.9000015258789,2000,0,3239,26.7000007629395
47,32.7999992370605,53.5,2000,0,5781,19.8999996185303
48,37.9000015258789,45,2000,0,28352,21.5
49,46.2000007629395,42.5999984741211,2000,0,6171,24.1000003814697
50,28.1000003814697,25,2000,0,16965,22
51,44.2000007629395,43.0999984741211,2000,0,9741,27.5
52,38.7999992370605,40.5,2000,0,11101,23.7999992370605
53,42.0900001525879,39.939998626709,2000,0,930926,22.9599990844727
1,47.2900009155273,33.8499984741211,1996,1,978619,70.8300018310547
2,27.3099994659424,25.4200000762939,1996,1,233572,72.3000030517578
3,44.6599998474121,43.8899993896484,1996,1,283851,83.4800033569336
4,45.689998626709,40.0499992370605,1996,1,1027866,81.870002746582
5,40.2099990844727,47.0999984741211,1996,1,375375,77.1800003051758
6,41.0299987792969,39.8499984741211,1996,1,958412,75.9100036621094
7,58.7000007629395,30.4400005340576,1996,1,144811,81.1500015258789
8,39.1599998474121,48.7700004577637,1996,1,516297,83.0500030517578
9,18.3700008392334,40.3199996948242,1996,1,3905255,76.6500015258789
10,54.3699989318848,30.7800006866455,1996,1,300885,78.1500015258789
11,42.0099983215332,47.9000015258789,1996,1,339901,81.2399978637695
12,35.3699989318848,43.8899993896484,1996,1,847124,73.2799987792969
13,50.4700012207031,35.6100006103516,1996,1,441934,79.3099975585938
14,46.4700012207031,39.9900016784668,1996,1,373239,81.5599975585938
15,53.2099990844727,35.7900009155273,1996,1,51298,63.810001373291
16,45.0299987792969,45.2200012207031,1996,1,384357,82.2699966430664
17,33.0099983215332,44.6399993896484,1996,1,603879,82.3099975585938
18,50.2099990844727,42.3899993896484,1996,1,169288,83.1500015258789
19,12.0100002288818,36.4700012207031,1996,1,429526,77.0199966430664
20,38.3800010681152,46.4900016784668,1996,1,652251,78.6900024414062
21,51.8699989318848,34.9300003051758,1996,1,128352,81.1999969482422
22,14.3400001525879,22.6900005340576,1996,1,571516,69.5599975585938
23,33.9000015258789,52.1500015258789,1996,1,355047,75.3099975585938
24,45.5999984741211,41.0800018310547,1996,1,176510,77.4100036621094
25,45.1300010681152,35.9500007629395,1996,1,606329,71.629997253418
26,36.8899993896484,48.6800003051758,1996,1,507666,83.6900024414062
27,49.4099998474121,36.6500015258789,1996,1,221583,80.9199981689453
28,42.4099998474121,25.8500003814697,1996,1,648047,71.2300033569336
29,48.7400016784668,37.8699989318848,1996,1,436206,76.9700012207031
30,17.8799991607666,33,1996,1,301268,75.4199981689453
31,53.4700012207031,32.4799995422363,1996,1,338099,72.0699996948242
32,49.2900009155273,31.4200000762939,1996,1,4199799,79.5899963378906
33,38.5,42.0400009155273,1996,1,921238,74.8499984741211
34,50.5699996948242,43.3199996948242,1996,1,44415,61.9500007629395
35,49.8899993896484,37.9900016784668,1996,1,860305,82
36,37.1199989318848,30.2600002288818,1996,1,444094,73.4499969482422
37,48.7900009155273,36.2599983215332,1996,1,327706,70.8600006103516
38,51.2900009155273,37.9099998474121,1996,1,153205,80.9800033569336
39,47.1100006103516,32.4799995422363,1996,1,770239,72.0500030517578
40,54.0900001525879,35.0400009155273,1996,1,307289,79.129997253418
41,32.3800010681152,34.4799995422363,1996,1,627867,66.9800033569336
42,54.7599983215332,32.2400016784668,1996,1,124291,80.2399978637695
43,31.4200000762939,50.0499992370605,1996,1,1313998,79.6900024414062
44,55.2000007629395,34.2900009155273,1996,1,79602,74.6699981689453
45,20.0599994659424,38.0800018310547,1996,1,463682,75.7200012207031
46,49.2299995422363,41.2200012207031,1996,1,119160,77.4899978637695
47,48.25,41.7700004577637,1996,1,407464,84.1500015258789
48,42.0299987792969,36.9799995422363,1996,1,1781719,81.5599975585938
49,48.8499984741211,35.8400001525879,1996,1,416340,81.4800033569336
50,18.4400005340576,23.7900009155273,1996,1,970592,72.4899978637695
51,54.0099983215332,36.9799995422363,1996,1,181733,77.2099990844727
52,48.2700004577637,31.9400005340576,1996,1,708732,77.4700012207031
53,38.7900009155273,37.6300010681152,1996,1,32531832,77.379997253418
1,44.2900009155273,49.5900001525879,1996,0,56206,35.7999992370605
2,37.0800018310547,31.1800003051758,1996,0,1446,37.6199989318848
3,13.1199998855591,73.6699981689453,1996,0,2627,38.939998626709
4,24.0400009155273,63.1500015258789,1996,0,9552,36.3899993896484
