"","nj","fte","post"
"1",0,34,0
"2",0,24,0
"3",0,70.5,0
"4",0,23.5,0
"5",0,11,0
"6",0,9,0
"7",0,15.5,0
"8",0,58,0
"9",0,26.5,0
"10",0,28.5,0
"11",0,13.5,0
"12",0,16.75,0
"13",0,9.5,0
"14",0,15,0
"15",0,29.5,0
"16",0,18.5,0
"17",0,20.25,0
"18",0,36,0
"19",0,21,0
"20",0,20.5,0
"21",0,19,0
"22",0,14,0
"23",0,19,0
"24",0,32.5,0
"25",0,27,0
"26",0,19.5,0
"27",0,24,0
"28",0,18,0
"29",0,19,0
"30",0,14,0
"31",0,10.5,0
"32",0,38,0
"33",0,23.5,0
"34",0,10.5,0
"35",0,25,0
"36",0,11,0
"37",0,36.5,0
"38",0,52.5,0
"39",0,45,0
"40",0,22.75,0
"41",0,7.5,0
"42",0,38,0
"43",0,17.5,0
"44",0,25,0
"45",0,21,0
"46",0,15.5,0
"47",0,15.5,0
"48",0,8.5,0
"49",0,18,0
"50",0,39,0
"51",0,41.5,0
"52",0,22.5,0
"53",0,32,0
"54",0,24,0
"55",0,26,0
"56",0,48.5,0
"57",0,8.5,0
"58",0,13,0
"59",0,28,0
"60",0,24.5,0
"61",0,18.5,0
"62",0,15,0
"63",0,18,0
"64",0,20.25,0
"65",0,15.5,0
"66",0,21,0
"67",1,5,0
"68",1,16,0
"69",1,41.5,0
"70",1,13,0
"71",1,10,0
"72",1,15,0
"73",1,26,0
"74",1,18,0
"75",1,35,0
"76",1,21,0
"77",1,34.5,0
"78",1,18.25,0
"79",1,20,0
"80",1,16,0
"81",1,17.5,0
"82",1,20,0
"83",1,12.25,0
"84",1,33,0
"85",1,31.5,0
"86",1,28,0
"87",1,16.5,0
"88",1,14.75,0
"89",1,23.5,0
"90",1,46.5,0
"91",1,15.5,0
"92",1,24.5,0
"93",1,24,0
"94",1,23,0
"95",1,28,0
"96",1,32.5,0
"97",1,23,0
"98",1,17,0
"99",1,30,0
"100",1,21.5,0
"101",1,32,0
"102",1,8,0
"103",1,35.5,0
"104",1,33,0
"105",1,22,0
"106",1,23,0
"107",1,23,0
"108",1,8.5,0
"109",1,12.5,0
"110",1,9.5,0
"111",1,13,0
"112",1,17,0
"113",1,9,0
"114",1,19,0
"115",1,11.5,0
"116",1,13,0
"117",1,48,0
"118",1,45.5,0
"119",1,15,0
"120",1,18,0
"121",1,21,0
"122",1,20.5,0
"123",1,20.5,0
"124",1,17.5,0
"125",1,27.5,0
"126",1,24,0
"127",1,34,0
"128",1,18,0
"129",1,24,0
"130",1,33.5,0
"131",1,12,0
"132",1,35,0
"133",1,35,0
"134",1,16,0
"135",1,15.5,0
"136",1,19,0
"137",1,24,0
"138",1,36,0
"139",1,29,0
"140",1,29,0
"141",1,21.25,0
"142",1,15.5,0
"143",1,19.5,0
"144",1,21,0
"145",1,14,0
"146",1,30.5,0
"147",1,23.5,0
"148",1,14,0
"149",1,14.5,0
"150",1,15.5,0
"151",1,26.5,0
"152",1,5.5,0
"153",1,23.25,0
"154",1,15.5,0
"155",1,32.25,0
"156",1,30,0
"157",1,30.5,0
"158",1,27,0
"159",1,18.5,0
"160",1,38,0
"161",1,16.5,0
"162",1,50,0
"163",1,20.5,0
"164",1,6.5,0
"165",1,13.5,0
"166",1,28,0
"167",1,21.5,0
"168",1,24,0
"169",1,20.5,0
"170",1,23.5,0
"171",1,23,0
"172",1,17,0
"173",1,20.5,0
"174",1,23.5,0
"175",1,9.5,0
"176",1,10,0
"177",1,14,0
"178",1,85,0
"179",1,15,0
"180",1,21.5,0
"181",1,53,0
"182",1,24,0
"183",1,20.5,0
"184",1,14.5,0
"185",1,25,0
"186",1,27,0
"187",1,22.5,0
"188",1,36.5,0
"189",1,17.25,0
"190",1,21.5,0
"191",1,24.5,0
"192",1,19,0
"193",1,25,0
"194",1,16,0
"195",1,19,0
"196",1,22.75,0
"197",1,35,0
"198",1,16,0
"199",1,21,0
"200",1,30.5,0
"201",1,23,0
"202",1,21.5,0
"203",1,36.5,0
"204",1,23,0
"205",1,14,0
"206",1,17.25,0
"207",1,18.5,0
"208",1,8.5,0
"209",1,14,0
"210",1,23,0
"211",1,29,0
"212",1,19,0
"213",1,21,0
"214",1,17,0
"215",1,36,0
"216",1,25,0
"217",1,29.5,0
"218",1,22,0
"219",1,11,0
"220",1,13.5,0
"221",1,13.5,0
"222",1,18,0
"223",1,9.5,0
"224",1,24,0
"225",1,14.5,0
"226",1,29,0
"227",1,10.5,0
"228",1,18,0
"229",1,9,0
"230",1,33,0
"231",1,19.5,0
"232",1,41,0
"233",1,17,0
"234",1,18.25,0
"235",1,17,0
"236",1,32,0
"237",1,26,0
"238",1,11.5,0
"239",1,21,0
"240",1,22.75,0
"241",1,18.5,0
"242",1,20,0
"243",1,18,0
"244",1,10.5,0
"245",1,10.5,0
"246",1,11,0
"247",1,10.5,0
"248",1,12.5,0
"249",1,18,0
"250",1,17,0
"251",1,15,0
"252",1,19.5,0
"253",1,13,0
"254",1,20.25,0
"255",1,26,0
"256",1,15.5,0
"257",1,24,0
"258",1,25.5,0
"259",1,21.5,0
"260",1,14,0
"261",1,20,0
"262",1,22.5,0
"263",1,30,0
"264",1,24,0
"265",1,22,0
"266",1,13,0
"267",1,5,0
"268",1,13.5,0
"269",1,18,0
"270",1,24,0
"271",1,16.5,0
"272",1,7,0
"273",1,19.5,0
"274",1,10,0
"275",1,13,0
"276",1,10,0
"277",1,12.5,0
"278",1,8,0
"279",1,20.5,0
"280",1,18.5,0
"281",1,11.5,0
"282",1,15,0
"283",1,13,0
"284",1,10,0
"285",1,17,0
"286",1,17,0
"287",1,20.5,0
"288",1,19.5,0
"289",1,30.5,0
"290",1,23,0
"291",1,13,0
"292",1,30.25,0
"293",1,18,0
"294",1,10,0
"295",1,17,0
"296",1,25.5,0
"297",1,6,0
"298",1,11.5,0
"299",1,8.5,0
"300",1,18.5,0
"301",1,15.5,0
"302",1,14.25,0
"303",1,38,0
"304",1,24.75,0
"305",1,23,0
"306",1,24,0
"307",1,7.5,0
"308",1,15,0
"309",1,16.5,0
"310",1,18.75,0
"311",1,15,0
"312",1,17.5,0
"313",1,17.5,0
"314",1,15.5,0
"315",1,16.5,0
"316",1,13.5,0
"317",1,13,0
"318",1,29.05,0
"319",1,13,0
"320",1,18,0
"321",1,30,0
"322",1,20.5,0
"323",1,10,0
"324",1,26,0
"325",1,12.5,0
"326",1,19.5,0
"327",1,12,0
"328",1,36,0
"329",1,21,0
"330",1,24.5,0
"331",1,20,0
"332",1,26.5,0
"333",1,15,0
"334",1,19,0
"335",1,17.5,0
"336",1,20.5,0
"337",1,21,0
"338",1,10.5,0
"339",1,23,0
"340",1,23,0
"341",1,29,0
"342",1,21,0
"343",1,41.5,0
"344",1,12,0
"345",1,33,0
"346",1,6.5,0
"347",1,9,0
"348",1,9.75,0
"349",1,24.5,0
"350",1,14,0
"351",1,19.5,0
"352",0,20,1
"353",0,35.5,1
"354",0,29,1
"355",0,36.5,1
"356",0,11,1
"357",0,8.5,1
"358",0,17.5,1
"359",0,29,1
"360",0,30.5,1
"361",0,26,1
"362",0,18,1
"363",0,20,1
"364",0,13.5,1
"365",0,19,1
"366",0,15.5,1
"367",0,14.5,1
"368",0,14,1
"369",0,19,1
"370",0,21,1
"371",0,18,1
"372",0,20.5,1
"373",0,13.5,1
"374",0,17.5,1
"375",0,25.5,1
"376",0,25.5,1
"377",0,27,1
"378",0,16,1
"379",0,19,1
"380",0,25,1
"381",0,17,1
"382",0,16.5,1
"383",0,20,1
"384",0,18,1
"385",0,12,1
"386",0,25,1
"387",0,11,1
"388",0,27,1
"389",0,34,1
"390",0,37.5,1
"391",0,21,1
"392",0,9.5,1
"393",0,18,1
"394",0,19,1
"395",0,31.5,1
"396",0,24.5,1
"397",0,27.5,1
"398",0,34.5,1
"399",0,14,1
"400",0,15,1
"401",0,26.5,1
"402",0,23.5,1
"403",0,35.5,1
"404",0,21,1
"405",0,23,1
"406",0,20,1
"407",0,27,1
"408",0,13,1
"409",0,13.5,1
"410",0,26.75,1
"411",0,43.5,1
"412",0,41.25,1
"413",0,12.5,1
"414",0,34,1
"415",0,10,1
"416",0,14,1
"417",0,17.5,1
"418",1,8,1
"419",1,15.5,1
"420",1,24,1
"421",1,7.5,1
"422",1,7.5,1
"423",1,18.5,1
"424",1,16.5,1
"425",1,33.5,1
"426",1,37,1
"427",1,18,1
"428",1,26.5,1
"429",1,33,1
"430",1,20.5,1
"431",1,24.5,1
"432",1,16,1
"433",1,23.5,1
"434",1,13,1
"435",1,20,1
"436",1,22,1
"437",1,25.5,1
"438",1,18,1
"439",1,9,1
"440",1,26.5,1
"441",1,23.75,1
"442",1,18,1
"443",1,36,1
"444",1,21,1
"445",1,15.5,1
"446",1,22.5,1
"447",1,27,1
"448",1,34,1
"449",1,16.75,1
"450",1,26,1
"451",1,18,1
"452",1,20.5,1
"453",1,15,1
"454",1,25.5,1
"455",1,20,1
"456",1,18,1
"457",1,26.5,1
"458",1,23.25,1
"459",1,10.5,1
"460",1,12,1
"461",1,9.5,1
"462",1,15.5,1
"463",1,14.5,1
"464",1,14,1
"465",1,6.5,1
"466",1,10,1
"467",1,11.5,1
"468",1,46.5,1
"469",1,26.5,1
"470",1,16,1
"471",1,13,1
"472",1,14,1
"473",1,15.5,1
"474",1,18,1
"475",1,27,1
"476",1,27,1
"477",1,29.5,1
"478",1,16.5,1
"479",1,31.5,1
"480",1,27.5,1
"481",1,32,1
"482",1,14.5,1
"483",1,10.5,1
"484",1,44,1
"485",1,15.5,1
"486",1,10.5,1
"487",1,24,1
"488",1,29,1
"489",1,20,1
"490",1,26.5,1
"491",1,27,1
"492",1,26.5,1
"493",1,10.5,1
"494",1,18,1
"495",1,18.5,1
"496",1,25.5,1
"497",1,32,1
"498",1,33,1
"499",1,7.5,1
"500",1,12.5,1
"501",1,24,1
"502",1,29,1
"503",1,9.5,1
"504",1,17.5,1
"505",1,17.5,1
"506",1,25,1
"507",1,26,1
"508",1,22.5,1
"509",1,35,1
"510",1,17.75,1
"511",1,24.5,1
"512",1,16.5,1
"513",1,30,1
"514",1,39,1
"515",1,17,1
"516",1,12.5,1
"517",1,38.5,1
"518",1,20,1
"519",1,32,1
"520",1,19,1
"521",1,26.5,1
"522",1,19,1
"523",1,20,1
"524",1,22.5,1
"525",1,10,1
"526",1,12.5,1
"527",1,11,1
"528",1,12.5,1
"529",1,59,1
"530",1,19,1
"531",1,15.5,1
"532",1,19,1
"533",1,26.5,1
"534",1,17.5,1
"535",1,20.5,1
"536",1,28,1
"537",1,30.25,1
"538",1,44,1
"539",1,17.5,1
"540",1,31,1
"541",1,31,1
"542",1,28.5,1
"543",1,19,1
"544",1,41,1
"545",1,28,1
"546",1,9.5,1
"547",1,25,1
"548",1,28,1
"549",1,16,1
"550",1,22.75,1
"551",1,32,1
"552",1,27.5,1
"553",1,25.5,1
"554",1,60.5,1
"555",1,20.5,1
"556",1,16,1
"557",1,25,1
"558",1,13,1
"559",1,9,1
"560",1,16.5,1
"561",1,21,1
"562",1,21.5,1
"563",1,20,1
"564",1,21.25,1
"565",1,21.5,1
"566",1,31,1
"567",1,33,1
"568",1,37.75,1
"569",1,9,1
"570",1,11,1
"571",1,12.75,1
"572",1,10.5,1
"573",1,22,1
"574",1,8,1
"575",1,25,1
"576",1,12.5,1
"577",1,22.5,1
"578",1,11.5,1
"579",1,23.5,1
"580",1,16.5,1
"581",1,29,1
"582",1,30,1
"583",1,22.5,1
"584",1,24,1
"585",1,21.75,1
"586",1,13.5,1
"587",1,24,1
"588",1,28.5,1
"589",1,10,1
"590",1,23.5,1
"591",1,30.5,1
"592",1,24.75,1
"593",1,22.5,1
"594",1,28,1
"595",1,14,1
"596",1,9,1
"597",1,9.5,1
"598",1,15.5,1
"599",1,12,1
"600",1,11.5,1
"601",1,12.5,1
"602",1,16,1
"603",1,28.5,1
"604",1,15,1
"605",1,23.5,1
"606",1,30.5,1
"607",1,26.5,1
"608",1,27,1
"609",1,21.5,1
"610",1,21.5,1
"611",1,37.5,1
"612",1,11.5,1
"613",1,21,1
"614",1,28,1
"615",1,24,1
"616",1,23,1
"617",1,19,1
"618",1,7,1
"619",1,14,1
"620",1,32,1
"621",1,22,1
"622",1,14.25,1
"623",1,16.5,1
"624",1,47.5,1
"625",1,15.5,1
"626",1,10.5,1
"627",1,7,1
"628",1,11,1
"629",1,8.5,1
"630",1,15,1
"631",1,13.5,1
"632",1,12.5,1
"633",1,12.5,1
"634",1,12.5,1
"635",1,10,1
"636",1,13.5,1
"637",1,16,1
"638",1,23.5,1
"639",1,34,1
"640",1,32.5,1
"641",1,21.5,1
"642",1,20,1
"643",1,43.5,1
"644",1,17.5,1
"645",1,7,1
"646",1,22,1
"647",1,22,1
"648",1,7,1
"649",1,14,1
"650",1,27,1
"651",1,18.5,1
"652",1,11.5,1
"653",1,16,1
"654",1,25,1
"655",1,30.5,1
"656",1,11.5,1
"657",1,25.5,1
"658",1,9.5,1
"659",1,11.5,1
"660",1,17,1
"661",1,24,1
"662",1,17,1
"663",1,28,1
"664",1,21.5,1
"665",1,19.5,1
"666",1,20,1
"667",1,14.5,1
"668",1,14.5,1
"669",1,31.5,1
"670",1,11.5,1
"671",1,20,1
"672",1,34,1
"673",1,25,1
"674",1,10,1
"675",1,25,1
"676",1,23,1
"677",1,17.5,1
"678",1,23,1
"679",1,26,1
"680",1,16.5,1
"681",1,35.5,1
"682",1,31,1
"683",1,23,1
"684",1,22.5,1
"685",1,21.5,1
"686",1,12,1
"687",1,20.5,1
"688",1,25,1
"689",1,8.5,1
"690",1,13,1
"691",1,21.5,1
"692",1,23,1
"693",1,25.5,1
"694",1,21.5,1
"695",1,9.5,1
"696",1,36.5,1
"697",1,16,1
"698",1,23.75,1
"699",1,17.5,1
"700",1,20.5,1
"701",1,20.5,1
"702",1,25,1
